Наименование;Адрес;Описание;Бренд;Сезон;Цена;Наличие
Роликовые коньки K2 F.I.T. 80 ALU;/goods/51525/2547081.html;Роликовые коньки для начального уровня катания, предназначены для прогулочного фитнес-катания. Благодаря алюминиевой раме увеличен запас жесткости и точность…;Бренд: K2;Сезон: 2022;33 800 ₽;в наличии в других городах
Роликовые коньки Rollerblade RB CRUISER;/goods/51525/2542739.html;Ролики для фристайла/фрискейта по доступной цене. Все самые необходимые технологии и ничего лишнего! Прекрасно подойдут для начинающих и продвинутых райдеров.;Бренд: Rollerblade;Сезон: 2022;32 889 ₽;в наличии в других городах
Роликовые коньки K2 MARLEE BEAM;/goods/51525/2547015.html;Вовлечение детей в активный образ жизни на свежем воздухе является ключом к здоровой сбалансированной жизни. Детские коньки MARLEE BEAM дают им прекрасную…;Бренд: K2;Сезон: 2022;24 699 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 80;/goods/51525/2542624.html;Удобные, простые в обращении роликовые коньки для начинающих и совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую управляемость.;Бренд: Rollerblade;Сезон: 2022;29 899 ₽;в наличии в других городах
Роликовые коньки Rollerblade TWISTER XT W;/goods/51525/2542788.html;Легендарная серия Twister от Rollerblade продолжает радовать своих поклонников. Twister XT W - оплот самых современных технологий и трендов. Традиционно…;Бренд: Rollerblade;Сезон: 2022;55 379 ₽;в наличии в других городах
Роликовые коньки K2 F.I.T. 84 PRO;/goods/51525/2547057.html;Эта модель роликов предназначена для длительных фитнес-прогулок. Благодаря алюминиевой раме увеличен запас жесткости и точность передачи усилия. Повышенный…;Бренд: K2;Сезон: 2022;40 429 ₽;в наличии в других городах
Роликовые коньки K2 F.I.T. 80 BOA;/goods/51525/2547106.html;F.I.T. 80 BOA оснащен вибропоглощающей рамой Tec Composite, которая поглощает вибрацию дороги для плавного катания. Система BOA Fit дает возможность легко…;Бренд: K2;Сезон: 2022;36 009 ₽;в наличии в других городах
Роликовые коньки K2 RAIDER BEAM;/goods/51525/2547011.html;Вовлечение детей в активный образ жизни на свежем воздухе является ключом к здоровой сбалансированной жизни. Детские коньки RAIDER BEAM дают им прекрасную…;Бренд: K2;Сезон: 2022;24 699 ₽;в наличии в других городах
Роликовые коньки Rollerblade RB CRUISER W;/goods/51525/2542750.html;Ролики для фристайла/фрискейта по доступной цене. Все самые необходимые технологии и ничего лишнего! Прекрасно подойдут для начинающих и продвинутых райдеров.;Бренд: Rollerblade;Сезон: 2022;32 889 ₽;в наличии в других городах
Роликовые коньки Rollerblade ZETRABLADE ELITE;/goods/51525/2542807.html;Комфортные надёжные роликовые коньки от Rollerblade.;Бренд: Rollerblade;Сезон: 2022;24 959 ₽;в наличии в других городах
Роликовые коньки K2 ALEXIS 80 ALU;/goods/51525/2547095.html;Роликовые коньки для начального уровня катания, предназначены для прогулочного фитнес-катания. Благодаря алюминиевой раме увеличен запас жесткости и точность…;Бренд: K2;Сезон: 2022;33 800 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 90;/goods/51525/2542647.html;Удобные, простые в обращении роликовые коньки для начинающих и совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую управляемость.;Бренд: Rollerblade;Сезон: 2022;38 220 ₽;в наличии в других городах
Роликовые коньки K2 SK8 HERO BOA ALU;/goods/51525/2547027.html;Для детей, которые хотят кататься на коньках, как чемпионы. Раздвижные роликовые коньки Charm Boa ALU обеспечивающие максимальную устойчивость и…;Бренд: K2;Сезон: 2022;31 460 ₽;в наличии в других городах
Роликовые коньки Rollerblade TWISTER XT;/goods/51525/2542781.html;Легендарная серия Twister от Rollerblade продолжает радовать своих поклонников. Twister XT - оплот самых современных технологий и трендов. Традиционно жёсткий…;Бренд: Rollerblade;Сезон: 2022;55 379 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 90 W;/goods/51525/2542661.html;Удобные, простые в обращении роликовые коньки для начинающих и совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую управляемость.;Бренд: Rollerblade;Сезон: 2022;38 220 ₽;в наличии в других городах
Роликовые коньки K2 ALEXIS 84 PRO;/goods/51525/2547070.html;Эта модель роликов предназначена для длительных фитнес-прогулок. Благодаря алюминиевой раме увеличен запас жесткости и точность передачи усилия. Повышенный…;Бренд: K2;Сезон: 2022;40 429 ₽;в наличии в других городах
